ENOTA,VDV_MID,VDV_ID,VDV_UIME,VDV_DJ,POV_KM2,D_OD,DV_OD,N8,C1,STATUS,CEN_E,CEN_N
VD,18457776,301032,"Upravni center Logatec, Tržaška c. 50a, Logatec",,7.43,2022/08/31,2022/08/31,301032,,V,439988,87087
VD,18457784,301022,"OŠ Rovte, Rovte 90a",,22.4,2022/08/31,2022/08/31,301022,,V,436309,94317
VD,18457792,301026,"POŠ Laze, Laze 57",,20.42,2022/08/31,2022/08/31,301026,,V,441778,80607
VD,18457806,301028,"OŠ 8 talcev Logatec, Notranjska c. 3, Logatec",,8.81,2022/08/31,2022/08/31,301028,,V,440248,86607
VD,18457814,301030,"OŠ 8 talcev Logatec, Notranjska c.3, Logatec",,11.57,2022/08/31,2022/08/31,301030,,V,440358,85987
VD,18457822,301033,"POŠ Hotedršica, Hotedršica 120",,34.94,2022/08/31,2022/08/31,301033,,V,433208,88007
VD,18457849,301035,"Brunarica na ovinku, Grčarevec 2a",,3.8,2022/08/31,2022/08/31,301035,,V,438888,81787
VD,18457857,301025,"POŠ Rovtarske Žibrše, Rovtarske Žibrše 10",,6.19,2022/08/31,2022/08/31,301025,,V,435299,91937
VD,18457865,301023,"KS Log-Zaplana, Zaplana-del 58b",,3.95,2022/09/05,2022/09/05,301023,,V,438699,90487
VD,18462753,301036,"ZVI Logatec, Tržaška c. 63, Logatec",,1.05,2022/08/31,2022/08/31,301036,,V,438928,86717
VD,18567717,301003,"OŠ Notranjski odred Cerknica, C. 4. maja 92",,23.2,2022/08/31,2022/08/31,301003,,V,450098,73146
VD,18567725,301004,"GD Dolenja vas, Dolenja vas 54",,5.9,2022/08/31,2022/08/31,301004,,V,449298,72106
VD,18567733,301005,"GD Dolenje Jezero, Dolenje Jezero 50b",,27.94,2022/08/31,2022/08/31,301005,,V,451328,66376
VD,18567741,301007,"Krajevni urad Rakek, Trg padlih borcev 2, Rakek",,5.46,2022/08/31,2022/08/31,301007,,V,446558,75186
VD,18567750,301009,"GD Ivanje selo, Ivanje selo 6",,11.15,2022/08/31,2022/08/31,301009,,V,445548,77546
VD,18567768,301011,"TD Menišija, Begunje pri Cerknici 28",,24.71,2022/08/31,2022/08/31,301011,,V,451458,75006
