ENOTA,SR_MID,SR_ID,SR_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
SR,21428132,1,Pomurska,1335.68,2002/01/01,2002/01/03,V,589012,169603
SR,21428159,2,Podravska,2169.91,2002/01/01,2002/01/03,V,549372,158294
SR,21428167,3,Koroška,1040.8,2002/01/01,2002/01/03,V,506221,152136
SR,21428175,4,Savinjska,2300.98,2002/01/01,2002/01/03,V,520340,121185
SR,21428183,5,Zasavska,485.21,2002/01/01,2002/01/03,V,503790,112215
SR,21428191,6,Posavska,968.12,2015/01/01,2015/01/19,V,523550,96645
SR,21428205,7,Jugovzhodna Slovenija,2675.02,2002/01/01,2002/01/03,V,513519,73205
SR,21428213,8,Osrednjeslovenska,2334.18,2002/01/01,2002/01/03,V,461699,101516
SR,21428221,9,Gorenjska,2136.63,2002/01/01,2002/01/03,V,450319,122857
SR,21428230,10,Primorsko-notranjska,1455.9,2015/01/01,2015/01/19,V,438848,70966
SR,21428248,11,Goriška,2325.21,2002/01/01,2002/01/03,V,394828,91567
SR,21428256,12,Obalno-kraška,1043.37,2002/01/01,2002/01/03,V,400787,45967
