ENOTA,NA_MID,NA_ID,NA_UIME,NA_DJ,OB_MID,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
NA,10084512,39,Višnje,,11026516,2.75,1995/01/01,1995/01/01,V,424168,81807
NA,10084539,40,Vodice,,11026516,7,1995/01/01,1995/01/01,V,428588,82567
NA,10084547,19,Vrhpolje,,11027636,4.32,1995/01/01,1995/01/01,V,419458,81057
NA,10084555,41,Vrtovče,,11026516,1.81,1995/01/01,1995/01/01,V,411448,80157
NA,10084563,42,Vrtovin,,11026516,16.12,1995/01/01,1995/01/01,V,407878,85137
NA,10084571,43,Zavino,,11026516,2.1,1995/01/01,1995/01/01,V,409508,79957
NA,10084580,20,Zemono,,11027636,0.82,1995/01/01,1995/01/01,V,418648,80007
NA,10084598,45,Žapuže,,11026516,1.79,1995/01/01,1995/01/01,V,416068,82857
NA,10084601,28,Potoče,,11026516,3.05,1995/01/01,1995/01/01,V,408638,83977
NA,10084610,23,Malovše,,11026516,0.71,1995/01/01,1995/01/01,V,406278,85597
NA,10084628,5,Hrašče,,11027636,1.24,1995/01/01,1995/01/01,V,421158,73507
NA,10084636,44,Žagolič,,11026516,2.86,1995/01/01,1995/01/01,V,422148,84127
NA,10084644,18,Kožmani,,11026516,0.43,1995/01/01,1995/01/01,V,416328,82587
NA,10084652,1,Arnovo selo,,11026605,2.89,1995/01/01,1995/01/01,V,543939,91705
NA,10084679,2,Artiče,,11026605,2.08,1995/01/01,1995/01/01,V,545409,90214
NA,10084687,3,Bizeljska vas,,11026605,1.39,1995/01/01,1995/01/01,V,553800,100634
NA,10084695,4,Bizeljsko,,11026605,10.3,1995/01/01,1995/01/01,V,553450,97564
NA,10084709,5,Blatno,,11026605,3.51,1995/01/01,1995/01/01,V,548550,93374
NA,10084717,6,Bojsno,,11026605,4.81,1995/01/01,1995/01/01,V,551980,92504
NA,10084725,7,Boršt,,11026605,0.9,1995/01/01,1995/01/01,V,542739,82965
NA,10084733,8,Bračna vas,,11026605,0.62,1995/01/01,1995/01/01,V,554630,97394
NA,10084741,88,Slovenska vas,,11026605,2.03,1995/01/01,1995/01/01,V,551629,78184
NA,10084750,9,Brezje pri Bojsnem,,11026605,1.65,1995/01/01,1995/01/01,V,551310,92984
NA,10084768,10,Brezje pri Veliki Dolini,,11026605,2.36,1995/01/01,1995/01/01,V,550809,78434
NA,10084776,11,Brezovica na Bizeljskem,,11026605,1.44,1995/01/01,1995/01/01,V,553360,95924
NA,10084784,12,Brežice,,11026605,8.9,1995/01/01,1995/01/01,V,545949,85164
NA,10084792,13,Brvi,,11026605,0.38,1995/01/01,1995/01/01,V,542077,81017
NA,10084806,14,Bukošek,,11026605,5.87,1995/01/01,1995/01/01,V,548629,87484
NA,10084814,15,Bukovje,,11026605,2.41,1995/01/01,1995/01/01,V,554630,99554
NA,10084822,16,Bušeča vas,,11026605,1.21,1995/01/01,1995/01/01,V,540349,81015
NA,10084849,17,Cerina,,11026605,1.13,1995/01/01,1995/01/01,V,547139,82274
NA,10084857,18,Cerklje ob Krki,,11026605,1.66,1995/01/01,1995/01/01,V,540379,82865
NA,10084865,19,Cirnik,,11026605,3.87,1995/01/01,1995/01/01,V,550129,80714
NA,10084873,20,Cundrovec,,11026605,1.9,1995/01/01,1995/01/01,V,547119,87354
NA,10084881,21,Curnovec,,11026605,3.36,1995/01/01,1995/01/01,V,546629,92164
NA,10084890,22,Čatež ob Savi,,11026605,5.44,1995/01/01,1995/01/01,V,546399,83814
NA,10084903,23,Čedem,,11026605,0.86,1995/01/01,1995/01/01,V,543389,78415
NA,10084911,24,Črešnjice pri Cerkljah,,11026605,1.16,1995/01/01,1995/01/01,V,539689,83715
NA,10084920,25,Dečno selo,,11026605,4.35,1995/01/01,1995/01/01,V,546949,90484
NA,10084938,26,Dednja vas,,11026605,2.7,1995/01/01,1995/01/01,V,549630,93384
NA,10084946,27,Dobeno,,11026605,4.11,1995/01/01,1995/01/01,V,546979,81134
NA,10084954,28,Dobova,,11026605,2.53,1995/01/01,1995/01/01,V,550999,84644
NA,10084962,29,Dolenja Pirošica,,11026605,1.2,1995/01/01,1995/01/01,V,540829,82125
NA,10084989,31,Dolenje Skopice,,11026605,2.05,1995/01/01,1995/01/01,V,543009,84935
NA,10084997,32,Dramlja,,11026605,2.01,1995/01/01,1995/01/01,V,553280,92824
NA,10085004,33,Drenovec pri Bukovju,,11026605,1.9,1995/01/01,1995/01/01,V,554710,98484
