ENOTA,UL_MID,UL_ID,UL_UIME,UL_DJ,NA_MID,OB_MID,D_OD,DV_OD,STATUS
UL,11198473,14,Pečki,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198481,16,Ravne,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198490,18,Škofarji,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198503,19,Šušteti,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198511,20,Tomažiči,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198520,21,Turki,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11198538,1,Boškarji,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11306560,4,Dolani,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11392318,9,Hrib,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11445233,11,Klanec,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11454500,12,Kocjančiči,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11454534,15,Potok,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11454569,17,Sv. Anton,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11454585,22,Vrtine,,10102081,11027776,1995/01/01,1995/01/01,V
UL,11463690,1,Cesta bratstva,Strada della Fratellanza,10102405,11027776,1995/01/01,1995/01/01,V
UL,11463703,2,Cesta Ivana Starca,Strada Ivan Starc,10102405,11027776,1995/01/01,1995/01/01,V
UL,11463711,3,Cesta 2.oktobra,Strada II ottobre,10102405,11027776,1995/01/01,1995/01/01,V
UL,11463720,4,Kurirska cesta,,10102405,11027776,1995/01/01,1995/01/01,V
UL,11463738,6,Poljska pot,Vicolo Campestre,10102405,11027776,1995/01/01,1995/01/01,V
UL,11497497,13,Prade - cesta VI,Prade - Strada VI,10102405,11027776,1995/01/01,1995/01/01,V
UL,11497519,14,Prade - cesta VII,Prade - Strada VII,10102405,11027776,1995/01/01,1995/01/01,V
UL,11497632,15,Prade - cesta VIII,Prade - Strada VIII,10102405,11027776,1995/01/01,1995/01/01,V
UL,11498485,11,Prade - cesta IX,Prade - Strada IX,10102405,11027776,1995/01/01,1995/01/01,V
UL,11498540,16,Prade - cesta X,Prade - Strada X,10102405,11027776,1995/01/01,1995/01/01,V
UL,11519296,17,Prade - cesta XI,Prade - Strada XI,10102405,11027776,1995/01/01,1995/01/01,V
UL,11730744,18,Prade - cesta XII,Prade - Strada XII,10102405,11027776,1995/01/01,1995/01/01,V
UL,11988512,19,Prade - cesta XIII,Prade - Strada XIII,10102405,11027776,1995/01/01,1995/01/01,V
UL,12109920,20,Prade - cesta XIV,Prade - Strada XIV,10102405,11027776,1995/01/01,1995/01/01,V
UL,12109946,22,Prade - cesta XV,Prade - Strada XV,10102405,11027776,1995/01/01,1995/01/01,V
UL,12148135,23,Prade - cesta XVI,Prade - Strada XVI,10102405,11027776,1995/01/01,1995/01/01,V
UL,12297203,25,Prade - cesta XVIII,Prade - Strada XVIII,10102405,11027776,1995/01/01,1995/01/01,V
UL,12297246,7,Stara cesta,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297254,1,Cesta Janeza Bobnarja,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297262,6,Slovenska cesta,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297289,2,Cesta v Polico,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297297,3,Krvavška cesta,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297319,4,Kurirska pot,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297327,5,Pot na Vovke,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297335,8,Trg Davorina Jenka,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297343,9,Trnovlje,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297351,10,Ulica Andreja Vavkna,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297360,11,Ulica Antona Kodra,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297378,17,Ulica 4. oktobra,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297386,12,Ulica Franca Barleta,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297394,13,Ulica Ignaca Borštnika,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297408,14,Ulica Ivana Hribarja,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297416,15,Ulica Janeza Mežana,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297424,16,Ulica Josipa Lapajne,,10102553,11026630,1995/01/01,1995/01/01,V
UL,12297432,1,Betonova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297459,2,Cesta na Belo,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297467,3,Cesta na Brdo,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297475,4,Cesta na Rupo,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297483,12,Cesta na Rupo,,10102774,11027784,1995/01/01,1995/01/01,V
UL,12297491,5,Dežmanova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297505,6,Dolžanova pot,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297513,7,Galetova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12297530,9,Grosova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12420935,10,Kuratova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12470673,11,Okornova ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12472943,12,Partizanska pot,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12477198,13,Pokopališka ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12478623,14,Snediceva ulica,,10102766,11027784,1995/01/01,1995/01/01,V
UL,12478631,2,Begunjska ulica,,10102774,11027784,1995/01/01,1995/01/01,V
UL,12478640,3,Benedikova ulica,,10102774,11027784,1995/01/01,1995/01/01,V
