ENOTA,ODO_MID,ODO_ID,ODO_UIME,POV_KM2,D_OD,DV_OD,STATUS,CEN_E,CEN_N
CK,16529753,46607,Idrsko,11.19,1997/07/01,1997/07/01,V,390908,122868
CK,16529761,6603,Kal Koritnica,7.87,1997/08/11,1997/08/13,V,390548,133968
CK,16529770,128607,Kneža,37.27,1997/07/01,1997/07/01,V,406278,113228
CK,16529788,46609,Kobarid,14.49,1997/07/01,1997/07/01,V,390348,123948
CK,16529796,46602,Kred - Staro selo,17.96,1997/07/01,1997/07/01,V,385438,123788
CK,16529800,46606,Livek,11.35,1997/07/01,1997/07/01,V,391098,118608
CK,16529818,128608,Ljubinj,16.86,1997/07/01,1997/07/01,V,405298,114958
CK,16529826,6604,Log pod Mangartom,52.55,1997/07/01,1997/07/01,V,392598,141639
CK,16529834,128611,Pečine,4.93,1997/07/01,1997/07/01,V,409678,109857
CK,16529842,128613,Podbrdo,27.92,1997/07/01,1997/07/01,V,420529,120888
CK,16529869,128610,Poljubinj,8.55,1997/07/01,1997/07/01,V,403778,115638
CK,16529877,128612,Ponikve,7.86,1997/07/01,1997/07/01,V,408578,111568
CK,16529885,128614,Rut - Grant,16.81,1997/07/01,1997/07/01,V,413429,119238
CK,16529893,46604,Ladra-Smast-Libušnje,9.57,1997/07/01,1997/07/01,V,392398,123038
CK,16529907,6605,Soča - Trenta,154.78,1997/07/01,1997/07/01,V,404129,138728
CK,16529915,6606,Srpenica,13.42,1997/07/01,1997/07/01,V,384368,129038
CK,16529923,128615,Stržišče,13.9,1997/07/01,1997/07/01,V,418249,120058
CK,16529931,128617,Šentviška Gora,16.44,1997/07/01,1997/07/01,V,410948,108537
CK,16529940,128618,Tolmin,45.31,1997/07/01,1997/07/01,V,402358,116998
CK,16529958,128619,Tolminski Lom,10.12,1997/07/01,1997/07/01,V,403138,110488
CK,16529966,46608,Trnovo ob Soči,10.51,1997/07/01,1997/07/01,V,388498,127688
CK,16529974,128620,Volarje,5.11,1997/07/01,1997/07/01,V,397678,119738
CK,16529982,128621,Volče,30.02,1997/07/01,1997/07/01,V,399208,112658
CK,16530000,46610,Vrsno - Krn,28.81,1997/07/01,1997/07/01,V,396488,125928
CK,16530018,128622,Zatolmin,19.16,1997/07/01,1997/07/01,V,402148,118348
CK,16530026,6607,Žaga,26.58,1997/07/01,1997/07/01,V,383678,131268
CK,16530034,129601,Dobovec,21.63,1997/07/01,1997/07/01,V,506730,107075
CK,16530042,129602,Franc Fakin,2.86,1997/07/01,1997/07/01,V,504890,112685
CK,16530069,129603,Klek,8.38,1997/07/01,1997/07/01,V,502410,114386
CK,16530077,129604,Trbovlje - center,1.63,1997/07/01,1997/07/01,V,503010,112246
CK,16530085,129605,Trbovlje - Čeče,7.26,1997/07/01,1997/07/01,V,505340,114105
CK,16530093,129606,Zasavje,3.45,1997/07/01,1997/07/01,V,503880,109745
CK,16530107,129607,Ivana Kešeta,0.29,1997/07/01,1997/07/01,V,504400,112515
CK,16530115,129608,Franc Salomon,8.34,1997/07/01,1997/07/01,V,500950,116666
CK,16530123,129609,Fric Keršič,0.51,1997/07/01,1997/07/01,V,503790,112215
CK,16530131,129610,Alojz Hohkraut,3.77,1997/07/01,1997/07/01,V,504990,110685
CK,16530140,130601,Čatež,10.91,1997/07/01,1997/07/01,V,496169,91885
CK,16530158,130602,Dobrnič,22.81,1997/07/01,1997/07/01,V,499749,80365
CK,16530166,130603,Dolenja Nemška vas,25.35,1997/07/01,1997/07/01,V,503199,82105
CK,16530174,130604,Knežja vas,10.29,1997/07/01,1997/07/01,V,495229,84235
CK,16530212,130607,Račje Selo,7.17,1997/07/01,1997/07/01,V,500079,88135
CK,16530239,130608,Sela pri Šumberku,16.74,1997/07/01,1997/07/01,V,493539,81935
CK,16530247,130609,Svetinja,9.41,1997/07/01,1997/07/01,V,501089,80575
CK,16530255,130610,Šentlovrenc,9.92,1997/07/01,1997/07/01,V,496509,88675
CK,16530271,130612,Štefan,7.63,1997/07/01,1997/07/01,V,498499,85335
CK,16530298,130614,Trebnje,12.71,1997/07/01,1997/07/01,V,500669,85615
CK,16530301,130615,Velika Loka,11.63,1997/07/01,1997/07/01,V,497509,87845
CK,16530310,130616,Veliki Gaber,18.72,1997/07/01,1997/07/01,V,490979,86986
CK,16530328,131601,Bistrica pri Tržiču,3.94,1997/07/01,1997/07/01,V,445590,135617
CK,16530336,131602,Brezje pri Tržiču,5.39,1997/07/01,1997/07/01,V,443320,135607
CK,16530344,131603,Jelendol,51.65,1997/07/01,1997/07/01,V,448510,139307
CK,16530352,131604,Kovor,6.02,1997/07/01,1997/07/01,V,442710,132547
CK,16530379,131605,Križe,5.94,1997/07/01,1997/07/01,V,448780,133627
CK,16530387,131606,Leše,5.69,1997/07/01,1997/07/01,V,443170,134667
CK,16530395,131607,Lom pod Storžičem,23.09,1997/07/01,1997/07/01,V,448910,137167
CK,16530409,131608,Podljubelj,36.83,1997/07/01,1997/07/01,V,445170,140057
CK,16530417,131609,Pristava,1.12,1997/07/01,1997/07/01,V,445840,134517
CK,16530425,131610,Ravne,1.69,1997/08/25,1997/08/25,V,446140,137617
CK,16530433,131611,Sebenje,3.57,1997/07/01,1997/07/01,V,446080,131847
CK,16530441,131612,Senično,3.44,1997/07/01,1997/07/01,V,447770,131367
CK,16530450,131613,Tržič - mesto,6.99,1997/07/01,1997/07/01,V,446810,136457
CK,16530468,140601,Bevke,7.55,1997/07/01,1997/07/01,V,450469,93967
CK,16530476,140602,Blatna Brezovica,5.64,1997/07/01,1997/07/01,V,448809,92647
CK,16530492,140604,Drenov Grič - Lesno Brdo,6.5,2014/09/04,2014/09/04,V,448259,95507
CK,16530514,140606,Podlipa Smrečje,12.05,2014/09/04,2014/09/04,V,439829,96477
CK,16530522,140607,Sinja Gorica,2.28,1997/07/01,1997/07/01,V,447419,93607
CK,16530549,140608,Stara Vrhnika,7.59,1997/07/01,1997/07/01,V,444209,92987
CK,16530557,140609,Ligojna,5.32,2014/09/04,2014/09/04,V,445519,95097
CK,16530565,140610,Verd,22.04,1997/07/01,1997/07/01,V,448249,89907
CK,16530573,140611,Zaplana,11.16,1997/07/01,1997/07/01,V,440149,93707
CK,16530581,140612,Vrhnika Breg,1.51,2014/09/04,2014/09/04,V,446079,92747
CK,16530590,140613,Vrhnika Center,0.57,2014/09/04,2014/09/04,V,445259,91637
CK,16530603,140614,Vrhnika Vas,16.84,2014/09/04,2014/09/04,V,445109,92017
CK,16530611,142601,Čemšenik,19.55,1997/07/01,1997/07/01,V,498950,115316
CK,16530620,142602,Izlake,12.58,1997/07/01,1997/07/01,V,494360,113716
CK,16530638,142603,Kotredež,7.87,1997/07/01,1997/07/01,V,501450,112146
CK,16530646,142604,Loke-Kisovec,9.59,1997/07/01,1997/07/01,V,498220,109836
CK,16530654,142605,Mlinše-Kolovrat,28.75,1997/07/01,1997/07/01,V,488130,113336
CK,16530662,142606,Podkum,27.37,1997/07/01,1997/07/01,V,502850,103155
CK,16530689,142607,Ravenska vas,4.37,1997/07/01,1997/07/01,V,501470,110486
CK,16530697,142608,Franc Farčnik,1.81,1997/07/01,1997/07/01,V,500590,110336
CK,16530719,142609,Šentlambert,15.7,2014/09/15,2014/09/15,V,496440,107656
CK,16530727,142610,Šentgotard,5.22,1997/07/01,1997/07/01,V,492870,116436
CK,16530735,142611,Jože Marn,4.75,1997/07/01,1997/07/01,V,500210,108126
CK,16530743,142612,Rudnik - Toplice,2.3,1997/07/01,1997/07/01,V,499260,111116
